time_s,port_radius_m,port_diameter_mm,oxidizer_flux_kg_m2_s,regression_rate_mm_s,fuel_mass_flow_kg_s,oxidizer_mass_flow_kg_s,total_mass_flow_kg_s,of_ratio,temperature_k,cstar_m_per_s,isp_ideal_1atm_s,thrust_n
0.0,0.015,30.0,353.677651315323,2.6621637354566787,0.04516254378340486,0.25,0.29516254378340484,5.535560645099522,3283.52506553769,1625.643530989123,230.9808613161968,668.5869825710635
0.05,0.015133108186772833,30.266216373545664,347.4832399597213,2.6331586991923546,0.04506688541911105,0.25,0.2950668854191111,5.547310351604308,3284.9947251357708,1625.5495845958178,230.9701592894827,668.3393346005254
0.1,0.01526476612173245,30.5295322434649,341.51503393433796,2.6050264217445016,0.044973290136911245,0.25,0.29497329013691126,5.558855027927248,3286.438739448625,1625.457277549512,230.95964401113397,668.0969196700275
0.15000000000000002,0.015395017442819675,30.79003488563935,335.76062558224254,2.5777244716866727,0.04488167466258014,0.25,0.29488167466258014,5.570202134378826,3287.8580416158925,1625.3665502002677,230.94930868604962,667.8595283743082
0.2,0.015523903666404009,31.047807332808016,330.20850720363217,2.551213238770396,0.04479196059331028,0.25,0.29479196059331025,5.581358723496861,3289.2535137727914,1625.2773461585496,230.9391468905417,667.6269634940365
0.25,0.015651464328342527,31.302928656685054,324.8479904314738,2.5254556977221805,0.04470407402753029,0.25,0.2947040740275303,5.592331469522029,3290.6259907369285,1625.1896120595488,230.92915254548802,667.3990390731719
0.30000000000000004,0.015777737113228635,31.55547422645727,319.669134156777,2.5004171957449413,0.04461794522910057,0.25,0.29461794522910056,5.603126695241578,3291.9762633659275,1625.103297348551,230.91931989188188,667.1755795817692
0.35000000000000003,0.015902757973015883,31.805515946031765,314.6626799610568,2.47606526096441,0.044533508322134076,0.25,0.2945335083221341,5.613750396479427,3293.3050816206633,1625.018354085122,230.9096434685258,666.9564191549257
0.4,0.016026561236064104,32.05312247212821,309.81999415664495,2.4523694294251364,0.04445070101315813,0.25,0.2944507010131581,5.624208264476998,3294.6131573646685,1624.9347367641587,230.9001180916462,666.7414008997209
0.45,0.01614917970753536,32.29835941507072,305.13301565683366,2.4293010885511857,0.04436946433773684,0.25,0.29436946433773686,5.634505706379952,3295.9011669266256,1624.8524021520848,230.8907388362335,666.5303762630035
0.5,0.01627064476196292,32.54128952392584,300.594209001031,2.406833335252337,0.0442897424290202,0.25,0.2942897424290202,5.6446478640207935,3297.1697534497052,1624.7713091366718,230.88150101893427,666.3232044537318
0.55,0.016390986428725537,32.78197285745107,296.1965219481225,2.3849408470845814,0.04421148230598752,0.25,0.29421148230598754,5.654639631165289,3298.4195290487564,1624.6914185891428,230.8724001823425,666.1197519143335
0.6000000000000001,0.016510233471079768,33.02046694215954,291.9333471265156,2.363599765069794,0.04413463367941214,0.25,0.2941346336794121,5.664485669371708,3299.651076793991,1624.612693237368,230.86343208055456,665.9198918361766
0.65,0.016628413459333257,33.25682691866651,287.79848729392467,2.3427875869486883,0.04405914877380171,0.25,0.2940591487738017,5.674190422595139,3300.8649525376964,1624.5350975490937,230.85459266586716,665.7235037148221
0.7000000000000001,0.01674555283868069,33.49110567736138,283.78612381547333,2.322483069787434,0.043984982163764855,0.25,0.29398498216376484,5.68375813065469,3302.061686598724,1624.4585976242636,230.84587807651087,665.5304729412067
0.75,0.016861676992170064,33.72335398434013,279.8907880165723,2.302666140985163,0.0439120906234274,0.25,0.2939120906234274,5.693192841668606,3303.2417853178767,1624.3831610955915,230.83728462532383,665.3406904253332
0.8,0.01697681029921932,33.95362059843864,276.10733510839805,2.283317816839786,0.04384043298767206,0.25,0.29384043298767204,5.702498423551155,3304.405732495948,1624.3087570366376,230.82880878928003,665.1540522494244
0.8500000000000001,0.01709097619006131,34.181952380122624,272.43092041964303,2.264420127925545,0.043769970024107506,0.25,0.2937699700241075,5.71167857465531,3305.553990724914,1624.2353558767122,230.82044719979555,664.9704593478178
0.9,0.017204197196457587,34.40839439291518,268.8569776993264,2.245956050619481,0.043700664314788806,0.25,0.2937006643147888,5.72073683363658,3306.687002621705,1624.162929322009,230.81219663374426,664.7898172111701
0.9500000000000001,0.01731649499898856,34.63298999797712,265.3811992825373,2.227909444187302,0.043632480146813674,0.25,0.29363248014681365,5.72967658860567,3307.8051919730274,1624.091450282423,230.80405400512134,664.6120356127926
1.0,0.017427890471197926,34.85578094239585,261.9995179345985,2.2102649929033786,0.04356538341100918,0.25,0.2935653834110092,5.738501085630841,3308.9089647988417,1624.0208928035693,230.79601635729895,664.4370283551679
1.05,0.017538403720843095,35.07680744168619,258.7080902097784,2.1930081527359797,0.04349934150800283,0.25,0.29349934150800283,5.747213436644921,3309.998710341377,1623.9512320035612,230.78808085582432,664.2647130348834
1.1,0.017648054128479893,35.29610825695978,255.50328117875367,2.176125102178563,0.04343432326104373,0.25,0.29343432326104374,5.7558166268064115,3310.9097990645278,1623.8594924840268,230.7767787882423,664.0850370548851
1.1500000000000001,0.01775686038358882,35.51372076717764,252.38165039487896,2.159602696851664,0.04337029883500076,0.25,0.29337029883500076,5.764313521359568,3311.7315598910163,1623.7580269342636,230.7639764286645,663.9033082304805
1.2000000000000002,0.017864840518431402,35.7296810368628,249.3399389832652,2.143428427538632,0.043307239661021665,0.25,0.2933072396610217,5.772706872033927,3312.5433066702685,1623.657797852309,230.751330079728,663.7242284904148
1.25,0.017972011939808335,35.94402387961667,246.37505774894115,2.127590381352664,0.04324511836638612,0.25,0.2932451183663861,5.780999323020048,3313.3452951300924,1623.5587736625973,230.73883575740336,663.5477237907409
1.3,0.018078391458875968,36.15678291775193,243.4840762112054,2.1120772057629065,0.04318390870912967,0.25,0.2931839087091297,5.78919341655487,3314.1377711380474,1623.4609240070415,230.72648963127568,663.3737231193564
1.35,0.018183995319164113,36.36799063832822,240.66421248085067,2.096878075234355,0.04312358551705573,0.25,0.29312358551705575,5.79729159814698,3314.920971206797,1623.364219682634,230.71428801667167,663.2021583334902
1.4000000000000001,0.018288839222925832,36.57767844585166,237.912823905417,2.0819826602602105,0.04306412463078775,0.25,0.29306412463078774,5.805296221469413,3315.6951229673045,1623.2686325830205,230.70222736728763,663.0329640079043
1.4500000000000002,0.018392938355938842,36.785876711877684,235.22739841514755,2.067381098586696,0.043005502850545295,0.25,0.2930055028505453,5.813209552945155,3316.4604456123134,1623.1741356437421,230.69030426828047,662.866077292976
1.5,0.018496307410868176,36.99261482173635,232.6055465089954,2.053063968449372,0.04294769788635648,0.25,0.2929476978863565,5.821033776048317,3317.2171503123263,1623.0807027908727,230.67851542978693,662.7014377818973
1.55,0.018598960609290643,37.197921218581286,230.04499382597132,2.039022263657003,0.04289068831144459,0.25,0.2928906883114446,5.828770995341945,3317.9654406061127,1622.9883088928016,230.66685768084,662.5389873863032
1.6,0.018700911722473495,37.40182344494699,227.54357425241193,2.0252473703742324,0.04283445351854973,0.25,0.29283445351854975,5.836423240271664,3318.7055127676067,1622.8969297149315,230.65532796365275,662.3786702196928
1.6500000000000001,0.018802174090992208,37.60434818198441,225.0992235204711,2.0117310454679824,0.04277897367896711,0.25,0.2927789736789671,5.8439924687327425,3319.4375561508855,1622.806541877083,230.643923328244,662.2204324880661
1.7000000000000002,0.01890276064326561,37.80552128653122,222.70997325735647,1.9984653962947159,0.0427242297041021,0.25,0.2927242297041021,5.851480570426683,3320.161753514799,1622.7171228134116,230.6326409273808,662.0642223872497
1.75,0.019002683913080343,38.005367826160686,220.37394544860825,1.9854428618167117,0.042670203209359575,0.25,0.29267020320935955,5.858889370022107,3320.878281328665,1622.628650734662,230.62147801181595,661.9099900064251
1.8,0.01910195605617118,38.20391211234236,218.0893472821019,1.972656194945383,0.04261687648019959,0.25,0.2926168764801996,5.866220630133547,3321.5873100603612,1622.5411045925966,230.6104319257997,661.7576872374178
1.85,0.01920058886591845,38.401177731836896,215.8544663424915,1.960098446018598,0.04256423244020589,0.25,0.2925642324402059,5.873476054130642,3322.289004448008,1622.4544640464508,230.59950010284732,661.6072676893389
1.9000000000000001,0.019298593788219378,38.597187576438756,213.66766612853888,1.9477629473270033,0.04251225462102613,0.25,0.29251225462102615,5.880657288789208,3322.9835237563643,1622.3687094312734,230.58868006174447,661.4586866082052
1.9500000000000002,0.019395981935585727,38.791963871171454,211.52738186822688,1.9356432986115994,0.04246092713405393,0.25,0.2924609271340539,5.8877659267948115,3323.671022018953,1622.2838217280314,230.57796940277527,661.3119008011967
2.0,0.019492764100516306,38.985528201032615,209.43211660876648,1.923733353461409,0.04241023464373337,0.25,0.2924102346437334,5.894803509108633,3324.351648266873,1622.1997825353585,230.56736580415742,661.1668685652298
2.0500000000000003,0.019588950768189377,39.177901536378755,207.38043756060003,1.9120272065460069,0.042360162342376065,0.25,0.29236016234237605,5.90177152720461,3325.02554674516,1622.1165740428387,230.55686701867157,661.0235496195589
2.1,0.019684552128516677,39.36910425703336,205.37097267630338,1.9005191816230804,0.042310695926389245,0.25,0.29231069592638925,5.90867142518624,3325.6928571175085,1622.03417900573,230.54647087047198,660.8819050421372
2.15,0.01977957808759783,39.55915617519566,203.4024074469162,1.8892038202660786,0.04226182157382144,0.25,0.2922618215738214,5.915504601790742,3326.3537146601,1621.9525807210312,230.53617525206667,660.7418972094847
2.2,0.019874038278611134,39.74807655722227,201.47348189970285,1.8780758712614454,0.0422135259231392,0.25,0.2922135259231392,5.922272412287725,3327.0082504452303,1621.8717630048086,230.52597812145677,660.6034897398399
2.25,0.019967942072174207,39.935884144348414,199.58298778268008,1.8671302806289836,0.04216579605315498,0.25,0.29216579605315496,5.928976170278996,3327.6565915153733,1621.7917101707046,230.51587749942482,660.466647439377
2.3000000000000003,0.020061298586205655,40.12259717241131,197.72976592245757,1.8563621822225622,0.042118619464032475,0.25,0.2921186194640325,5.9356171494056085,3328.298861048276,1621.712407009552,230.50587146696253,660.3313362512976
2.35,0.020154116695316783,40.30823339063357,195.91270374303608,1.8457668888717405,0.042071984059300606,0.25,0.2920719840593006,5.9421965849679,3328.9351785136364,1621.6338387700282,230.49595816283,660.1975232076111
2.4000000000000004,0.02024640503976037,40.492810079520744,194.13073293420726,1.8353398840279367,0.04202587812881297,0.25,0.292025878128813,5.948715675463776,3329.5656598218757,1621.5559911402877,230.48613578123795,660.0651763834386
2.45,0.02033817203396177,40.67634406792354,192.38282725910656,1.8250768138815552,0.04198029033259386,0.25,0.2919802903325939,5.955175584050162,3330.1904174654806,1621.4788502305073,230.47640256964573,659.9342648536817
2.5,0.020429425874655845,40.85885174931169,190.66800049129893,1.814973479919048,0.04193520968551617,0.25,0.2919352096855162,5.961577439932212,3330.8095606533575,1621.4024025562996,230.46675682666816,659.8047586519107
2.5500000000000003,0.020520174548651796,41.04034909730359,188.98530447253071,1.8050258318912082,0.04189062554276048,0.25,0.29189062554276046,5.967922339684538,3331.4231954386123,1621.326635022934,230.45719690008485,659.67662873134
2.6,0.020610425840246357,41.220851680492714,187.3338272829705,1.7952299611661406,0.04184652758600815,0.25,0.29184652758600815,5.9742113485084065,3332.0314248401382,1621.2515349103237,230.44772118494592,659.5498469277626
2.6500000000000004,0.020700187338304664,41.400374676609324,185.71269151638904,1.785582094442305,0.04180290581032454,0.25,0.29180290581032453,5.980445501428627,3332.634348958371,1621.1770898587345,230.43832812176873,659.4243859243278
2.7,0.020789466443026778,41.57893288605356,184.12105265330413,1.7760785877988328,0.04175975051169145,0.25,0.29175975051169145,5.98662580443357,3333.2320650855418,1621.10328785517,230.42901619482012,659.3002192180543
2.75,0.02087827037241672,41.75654074483344,182.55809752564147,1.7667159210619536,0.041717052275150796,0.25,0.29171705227515077,5.992753235561544,3333.8246678107466,1621.0301172203992,230.41978393047955,659.1773210879758
2.8000000000000003,0.020966606168469817,41.93321233693963,181.02304286694482,1.757490692467899,0.041674801963523765,0.25,0.29167480196352374,5.9988287459365655,3334.412249120116,1620.9575665965874,230.4106298956786,659.0556665648255
2.85,0.021054480703093213,42.108961406186424,179.51513394260985,1.7483996136040356,0.04163299070667284,0.25,0.2916329907066728,6.004853260756272,3334.8773482479755,1620.8706603614612,230.39927651067057,658.9287216414484
2.9000000000000004,0.021141900683773415,42.28380136754683,178.03364325502113,1.7394395046112623,0.041591609891275104,0.25,0.2915916098912751,6.010827680234707,3335.3104470507737,1620.7808953514723,230.3874727799053,658.8014707590903
2.95,0.02122887265900398,42.45774531800796,176.5778693188436,1.7306072896318891,0.04155065115107847,0.25,0.2915506511510785,6.016752880502358,3335.7399778447734,1620.6918698548309,230.3757662921131,658.6754610456317
3.0,0.021315403023485575,42.63080604697115,175.14713550206147,1.7218999924883105,0.041510106357613645,0.25,0.29151010635761365,6.0226297144658085,3336.166002459048,1620.6035710567073,230.36415536219647,658.5506690582478
3.0500000000000003,0.02140149802310999,42.80299604621998,173.74078892867192,1.713314732578776,0.04146996761133636,0.25,0.29146996761133637,6.028459012629159,3336.5885810986656,1620.5159864788666,230.35263834931862,658.4270720065037
3.1,0.02148716375973893,42.97432751947786,172.35819943922996,1.7048487209775067,0.04143022723317668,0.25,0.2914302272331767,6.034241583879219,3337.007772401609,1620.4291039678717,230.34121365535245,658.304647728476
3.1500000000000004,0.02157240619578781,43.14481239157562,170.9987586057076,1.6964992567272474,0.04139087775647272,0.25,0.2913908777564727,6.039978216236425,3337.4236334932125,1620.3429116838001,230.32987972339666,658.1833746679486
3.2,0.021657231158624172,43.31446231724834,169.661878797375,1.6882637233131466,0.04135191191926833,0.25,0.29135191191926835,6.0456696775732395,3337.8362200382394,1620.257398089451,230.31863503635665,658.0632318526365
3.25,0.02174164434478983,43.48328868957966,168.3469922946395,1.680139585307585,0.04131332265695531,0.25,0.2913133226569553,6.051316716301714,3338.2455862907236,1620.1725519400136,230.30747811558592,657.9441988733737
3.3000000000000003,0.021825651324055208,43.651302648110416,167.05355044798566,1.6721243851762586,0.04127510309524165,0.25,0.2912751030952416,6.0569200620318,3338.6517851416957,1620.0883622731767,230.29640751958553,657.8262558642185
3.35,0.02190925754331402,43.81851508662804,165.7810228793536,1.6642157402364348,0.041237246543428786,0.25,0.2912372465434288,6.062480426201925,3339.054868164891,1620.0048183996548,230.28542184275818,657.7093834834275
3.4000000000000004,0.02199246833032584,43.984936660651684,164.52889672347203,1.6564113397589102,0.04119974648798192,0.25,0.2911997464879819,6.067998502683158,3339.4548856605484,1619.9219098941096,230.2745197142147,657.5935628952536
3.45,0.022075288897313788,44.15057779462757,163.29667590682567,1.6487089422057095,0.04116259658637789,0.25,0.2911625965863779,6.073474968358374,3339.8518866973964,1619.8396265864487,230.2636997966296,657.4787757525246
3.5,0.022157724344424073,44.31544868884814,162.08388046209183,1.6411063725960948,0.04112579066121677,0.25,0.2911257906612168,6.078910483677577,3340.245919152907,1619.7579585534818,230.25296078514404,657.3650041799632
3.5500000000000003,0.022239779663053877,44.479559326107754,160.89004587602068,1.6336015199938976,0.04108932269458345,0.25,0.29108932269458343,6.084305693190604,3340.637029751915,1619.6768961109167,230.24230140631337,657.2522307582116
3.6,0.02232145973905357,44.64291947810714,159.71472246886697,1.6261923351096388,0.041053186822646914,0.25,0.2910531868226469,6.089661226058289,3341.025264103673,1619.5964298056801,230.2317204170971,657.1404385085245
3.6500000000000004,0.022402769355809052,44.805538711618105,158.5574748036001,1.6188768280112944,0.041017377330485015,0.25,0.291017377330485,6.094977696543131,3341.4106667374203,1619.5165504085437,230.22121660388962,657.0296108780967
3.7,0.022483713197209616,44.967426394419235,157.41788112323596,1.6116530659379398,0.04098188864712389,0.25,0.2909818886471239,6.100255704480447,3341.7932811365367,1619.4372489070463,230.21078878158923,656.9197317259963
3.75,0.022564295850506514,45.12859170101303,156.2955328147349,1.6045191712108644,0.040946715340781155,0.25,0.29094671534078115,6.1054958357309514,3342.173149771354,1619.358516498694,230.20043579270407,656.8107853096706
3.8000000000000003,0.022644521809067057,45.289043618134116,155.1900338980115,1.5974733192370647,0.04091185211430319,0.25,0.2909118521143032,6.110698662615607,3342.550314130677,1619.2803445844254,230.19015650649283,656.7027562720001
3.85,0.02272439547502891,45.44879095005782,154.10100053868936,1.5905137366003286,0.04087729380078693,0.25,0.2908772938007869,6.115864744333619,3342.9248147520857,1619.2027247623332,230.1799498181391,656.5956296288726
3.9000000000000004,0.022803921161858927,45.607842323717854,153.02806058332126,1.5836386992354177,0.04084303535937748,0.25,0.2908430353593775,6.120994627364308,3343.296691251067,1619.125648821624,230.16981464795725,656.4893907572516
3.95,0.0228831030968207,45.766206193641395,151.97085311587085,1.5768465306811046,0.04080907187123301,0.25,0.290809071871233,6.126088845853638,3343.6659823490368,1619.0491087368123,230.15974994062887,656.3840253837183
